device_id,sequence,sent_at,received_at,temperature_c,vibration_g,voltage_v,status,processing_ms
SIM-001,0,2026-09-22T22:11:07.506380+00:00,2026-09-22T22:11:07.507380+00:00,23.295,0.46,5.03,NORMAL,0.034
SIM-001,1,2026-09-22T22:11:07.657680+00:00,2026-09-22T22:11:07.657680+00:00,22.29,0.614,4.973,NORMAL,0.061
SIM-001,2,2026-09-22T22:11:07.808421+00:00,2026-09-22T22:11:07.808421+00:00,22.232,0.603,4.907,NORMAL,0.037
SIM-001,3,2026-09-22T22:11:07.958850+00:00,2026-09-22T22:11:07.958850+00:00,23.735,0.428,4.918,NORMAL,0.061
SIM-001,4,2026-09-22T22:11:08.109486+00:00,2026-09-22T22:11:08.109486+00:00,23.698,0.731,4.925,NORMAL,0.042
SIM-001,5,2026-09-22T22:11:08.259963+00:00,2026-09-22T22:11:08.259963+00:00,22.893,0.651,5.09,NORMAL,0.072
SIM-001,6,2026-09-22T22:11:08.410628+00:00,2026-09-22T22:11:08.410628+00:00,95.0,0.559,5.095,ANOMALO,0.053
SIM-001,7,2026-09-22T22:11:08.561066+00:00,2026-09-22T22:11:08.561066+00:00,22.186,0.743,4.958,NORMAL,0.046
SIM-001,8,2026-09-22T22:11:08.711513+00:00,2026-09-22T22:11:08.711513+00:00,22.577,0.447,4.962,NORMAL,0.039
SIM-001,9,2026-09-22T22:11:08.862140+00:00,2026-09-22T22:11:08.862140+00:00,25.265,0.472,5.016,NORMAL,0.034
SIM-001,10,2026-09-22T22:11:09.012700+00:00,2026-09-22T22:11:09.012700+00:00,24.556,0.549,5.01,NORMAL,0.04
SIM-001,11,2026-09-22T22:11:09.162865+00:00,2026-09-22T22:11:09.162865+00:00,22.251,0.424,4.941,NORMAL,0.067
